学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
ENVIRONMENT ECOLOGY,"INSTITUTE OF AGRICULTURAL RESOURCES & REGIONAL PLANNING, CAAS",517,910,31627,34.750
ENVIRONMENT ECOLOGY,WUHAN UNIVERSITY OF TECHNOLOGY,522,1488,31416,21.110
ENVIRONMENT ECOLOGY,FUJIAN AGRICULTURE & FORESTRY UNIVERSITY,525,1494,31210,20.890
ENVIRONMENT ECOLOGY,HUNAN AGRICULTURAL UNIVERSITY,530,1133,30953,27.320
ENVIRONMENT ECOLOGY,CHINESE ACADEMY OF FORESTRY,537,1510,30605,20.270
ENVIRONMENT ECOLOGY,EAST CHINA UNIVERSITY OF SCIENCE & TECHNOLOGY,552,1141,29882,26.190
ENVIRONMENT ECOLOGY,GUANGDONG ACADEMY OF SCIENCES,553,1174,29876,25.450
ENVIRONMENT ECOLOGY,"YANTAI INSTITUTE OF COASTAL ZONE RESEARCH, CAS",558,1018,29771,29.240
ENVIRONMENT ECOLOGY,XI'AN UNIVERSITY OF ARCHITECTURE & TECHNOLOGY,566,1620,29321,18.100
ENVIRONMENT ECOLOGY,"NORTHEAST INSTITUTE OF GEOGRAPHY & AGROECOLOGY, CAS",567,1603,29310,18.280
ENVIRONMENT ECOLOGY,SOUTHERN MARINE SCIENCE & ENGINEERING GUANGDONG LABORATORY,568,1922,29289,15.240
ENVIRONMENT ECOLOGY,CHINA INSTITUTE OF WATER RESOURCES & HYDROPOWER RESEARCH,572,2121,29165,13.750
ENVIRONMENT ECOLOGY,GUANGXI UNIVERSITY,575,1643,28930,17.610
ENVIRONMENT ECOLOGY,"INSTITUTE OF GEOCHEMISTRY, CAS",578,1055,28722,27.220
ENVIRONMENT ECOLOGY,TSINGHUA SHENZHEN INTERNATIONAL GRADUATE SCHOOL,601,748,27752,37.100
ENVIRONMENT ECOLOGY,MINISTRY OF WATER RESOURCES,628,1258,26227,20.850
ENVIRONMENT ECOLOGY,PEKING UNIVERSITY SHENZHEN GRADUATE SCHOOL (PKU SHENZHEN),629,735,26137,35.560
ENVIRONMENT ECOLOGY,BEIJING UNIVERSITY OF CHEMICAL TECHNOLOGY,636,875,25874,29.570
ENVIRONMENT ECOLOGY,"CENTER FOR EXCELLENCE IN TIBETAN PLATEAU EARTH SCIENCES (CETES), CAS",639,614,25783,41.990
ENVIRONMENT ECOLOGY,HENAN UNIVERSITY,651,1273,25168,19.770
ENVIRONMENT ECOLOGY,YUNNAN UNIVERSITY,652,1719,25152,14.630
ENVIRONMENT ECOLOGY,CHINESE ACADEMY OF FISHERY SCIENCES,653,1536,25130,16.360
ENVIRONMENT ECOLOGY,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,662,883,24929,28.230
ENVIRONMENT ECOLOGY,"SOUTH CHINA BOTANICAL GARDEN, CAS",666,813,24725,30.410
ENVIRONMENT ECOLOGY,FUJIAN NORMAL UNIVERSITY,668,1073,24705,23.020
ENVIRONMENT ECOLOGY,SOOCHOW UNIVERSITY - CHINA,677,763,24364,31.930
ENVIRONMENT ECOLOGY,HAINAN UNIVERSITY,679,1583,24335,15.370
ENVIRONMENT ECOLOGY,"THE INSTITUTE OF REMOTE SENSING & DIGITAL EARTH, CAS",685,433,24064,55.580
ENVIRONMENT ECOLOGY,"XISHUANGBANNA TROPICAL BOTANICAL GARDEN, CAS",696,892,23809,26.690
ENVIRONMENT ECOLOGY,CHINA GEOLOGICAL SURVEY,698,1874,23751,12.670
ENVIRONMENT ECOLOGY,QINGDAO UNIVERSITY,713,1019,23308,22.870
ENVIRONMENT ECOLOGY,SHAANXI NORMAL UNIVERSITY,714,1069,23136,21.640
ENVIRONMENT ECOLOGY,"SOUTH CHINA INSTITUTE OF ENVIRONMENTAL SCIENCES, MINISTRY OF ECOLOGY & ENVIRONMENT",715,985,22922,23.270
ENVIRONMENT ECOLOGY,SHANGHAI OCEAN UNIVERSITY,716,1351,22920,16.970
ENVIRONMENT ECOLOGY,JIANGNAN UNIVERSITY,730,1117,22525,20.170
ENVIRONMENT ECOLOGY,"NANJING INSTITUTE OF ENVIRONMENTAL SCIENCES, MINISTRY OF ECOLOGY & ENVIRONMENT",752,1091,21905,20.080
ENVIRONMENT ECOLOGY,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,754,1294,21894,16.920
ENVIRONMENT ECOLOGY,BEIHANG UNIVERSITY,757,918,21815,23.760
ENVIRONMENT ECOLOGY,YANGZHOU UNIVERSITY,776,1297,21009,16.200
ENVIRONMENT ECOLOGY,FUZHOU UNIVERSITY,778,1052,21002,19.960
ENVIRONMENT ECOLOGY,DONGHUA UNIVERSITY,779,863,20974,24.300
ENVIRONMENT ECOLOGY,CHINESE ACADEMY OF METEOROLOGICAL SCIENCES (CAMS),802,724,20391,28.160
ENVIRONMENT ECOLOGY,"WUHAN BOTANICAL GARDEN, CAS",805,661,20339,30.770
ENVIRONMENT ECOLOGY,ZHEJIANG NORMAL UNIVERSITY,808,707,20210,28.590
ENVIRONMENT ECOLOGY,"INSTITUTE OF MOUNTAIN HAZARDS & ENVIRONMENT, CAS",810,1166,20135,17.270
ENVIRONMENT ECOLOGY,XINJIANG UNIVERSITY,814,1220,20048,16.430
ENVIRONMENT ECOLOGY,SHANXI UNIVERSITY,823,932,19774,21.220
ENVIRONMENT ECOLOGY,CENTRAL CHINA NORMAL UNIVERSITY,824,793,19712,24.860
ENVIRONMENT ECOLOGY,RENMIN UNIVERSITY OF CHINA,826,971,19648,20.230
ENVIRONMENT ECOLOGY,GUIZHOU UNIVERSITY,827,1514,19620,12.960
ENVIRONMENT ECOLOGY,SHANDONG AGRICULTURAL UNIVERSITY,839,929,19334,20.810
ENVIRONMENT ECOLOGY,SHANDONG UNIVERSITY OF SCIENCE & TECHNOLOGY,840,1241,19315,15.560
ENVIRONMENT ECOLOGY,XI'AN UNIVERSITY OF TECHNOLOGY,841,1442,19293,13.380
ENVIRONMENT ECOLOGY,NORTHEAST FORESTRY UNIVERSITY - CHINA,848,1375,19094,13.890
ENVIRONMENT ECOLOGY,NINGBO UNIVERSITY,853,1173,18955,16.160
ENVIRONMENT ECOLOGY,CHENGDU UNIVERSITY OF TECHNOLOGY,857,1397,18726,13.400
ENVIRONMENT ECOLOGY,NANCHANG UNIVERSITY,858,1095,18717,17.090
ENVIRONMENT ECOLOGY,"DALIAN INSTITUTE OF CHEMICAL PHYSICS, CAS",875,307,18251,59.450
ENVIRONMENT ECOLOGY,SHANTOU UNIVERSITY,876,820,18184,22.180
ENVIRONMENT ECOLOGY,NORTHWEST UNIVERSITY XI'AN,878,1187,18132,15.280
