学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
"SOCIAL SCIENCES, GENERAL",NANJING MEDICAL UNIVERSITY,1064,800,6559,8.200
"SOCIAL SCIENCES, GENERAL",CENTRAL UNIVERSITY OF FINANCE & ECONOMICS,1072,511,6485,12.690
"SOCIAL SCIENCES, GENERAL",OCEAN UNIVERSITY OF CHINA,1084,432,6403,14.820
"SOCIAL SCIENCES, GENERAL",NORTHWEST A&F UNIVERSITY - CHINA,1094,397,6301,15.870
"SOCIAL SCIENCES, GENERAL",BEIJING UNIVERSITY OF TECHNOLOGY,1097,471,6286,13.350
"SOCIAL SCIENCES, GENERAL",NANJING AGRICULTURAL UNIVERSITY,1103,488,6239,12.780
"SOCIAL SCIENCES, GENERAL",JIANGXI UNIVERSITY OF FINANCE & ECONOMICS,1114,328,6170,18.810
"SOCIAL SCIENCES, GENERAL",ZHEJIANG UNIVERSITY OF TECHNOLOGY,1130,439,6071,13.830
"SOCIAL SCIENCES, GENERAL",HUAZHONG AGRICULTURAL UNIVERSITY,1164,359,5901,16.440
"SOCIAL SCIENCES, GENERAL",HAINAN UNIVERSITY,1186,513,5805,11.320
"SOCIAL SCIENCES, GENERAL",DONGBEI UNIVERSITY OF FINANCE & ECONOMICS,1195,321,5751,17.920
"SOCIAL SCIENCES, GENERAL",XINJIANG UNIVERSITY,1204,300,5699,19.000
"SOCIAL SCIENCES, GENERAL",SICHUAN AGRICULTURAL UNIVERSITY,1234,327,5484,16.770
"SOCIAL SCIENCES, GENERAL",NANCHANG UNIVERSITY,1244,377,5418,14.370
"SOCIAL SCIENCES, GENERAL",JIANGSU NORMAL UNIVERSITY,1260,244,5268,21.590
"SOCIAL SCIENCES, GENERAL",HUAQIAO UNIVERSITY,1262,440,5258,11.950
"SOCIAL SCIENCES, GENERAL",CAPITAL UNIVERSITY OF ECONOMICS & BUSINESS,1267,315,5241,16.640
"SOCIAL SCIENCES, GENERAL",SHANDONG NORMAL UNIVERSITY,1272,349,5214,14.940
"SOCIAL SCIENCES, GENERAL",SHANDONG UNIVERSITY OF FINANCE & ECONOMICS,1280,313,5193,16.590
"SOCIAL SCIENCES, GENERAL",NINGBO UNIVERSITY,1283,564,5161,9.150
"SOCIAL SCIENCES, GENERAL",SOUTHERN MEDICAL UNIVERSITY - CHINA,1296,676,5073,7.500
"SOCIAL SCIENCES, GENERAL",SHANGHAI NORMAL UNIVERSITY,1315,593,4988,8.410
"SOCIAL SCIENCES, GENERAL",NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,1348,392,4841,12.350
"SOCIAL SCIENCES, GENERAL",NORTH CHINA ELECTRIC POWER UNIVERSITY,1421,203,4411,21.730
"SOCIAL SCIENCES, GENERAL",ANHUI MEDICAL UNIVERSITY,1425,455,4392,9.650
"SOCIAL SCIENCES, GENERAL",BEIJING FORESTRY UNIVERSITY,1447,361,4308,11.930
"SOCIAL SCIENCES, GENERAL",ZHEJIANG NORMAL UNIVERSITY,1452,526,4300,8.170
"SOCIAL SCIENCES, GENERAL","SHENZHEN RESEARCH INSTITUTE, CITY UNIVERSITY OF HONG KONG",1467,93,4236,45.550
"SOCIAL SCIENCES, GENERAL",NORTHEASTERN UNIVERSITY - CHINA,1480,312,4185,13.410
"SOCIAL SCIENCES, GENERAL","RESEARCH CENTER FOR ECO-ENVIRONMENTAL SCIENCES (RCEES), CAS",1481,126,4179,33.170
"SOCIAL SCIENCES, GENERAL",NORTHEAST NORMAL UNIVERSITY - CHINA,1499,435,4103,9.430
"SOCIAL SCIENCES, GENERAL",CHINA MEDICAL UNIVERSITY,1521,432,4014,9.290
"SOCIAL SCIENCES, GENERAL",HANGZHOU NORMAL UNIVERSITY,1526,557,4004,7.190
"SOCIAL SCIENCES, GENERAL",HUBEI UNIVERSITY OF ECONOMICS,1528,187,3999,21.390
"SOCIAL SCIENCES, GENERAL",CHONGQING MEDICAL UNIVERSITY,1533,537,3978,7.410
