学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
BIOLOGY & BIOCHEMISTRY,SHANDONG AGRICULTURAL UNIVERSITY,1106,663,12155,18.330
BIOLOGY & BIOCHEMISTRY,HUBEI UNIVERSITY,1113,689,12036,17.470
BIOLOGY & BIOCHEMISTRY,DONGHUA UNIVERSITY,1115,532,12002,22.560
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF HYDROBIOLOGY, CAS",1116,500,11978,23.960
BIOLOGY & BIOCHEMISTRY,CHINESE ACADEMY OF FISHERY SCIENCES,1119,896,11957,13.340
BIOLOGY & BIOCHEMISTRY,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,1123,727,11873,16.330
BIOLOGY & BIOCHEMISTRY,KUNMING MEDICAL UNIVERSITY,1134,944,11689,12.380
BIOLOGY & BIOCHEMISTRY,HENAN AGRICULTURAL UNIVERSITY,1136,715,11643,16.280
BIOLOGY & BIOCHEMISTRY,GUANGDONG MEDICAL UNIVERSITY,1139,784,11637,14.840
BIOLOGY & BIOCHEMISTRY,HANGZHOU NORMAL UNIVERSITY,1140,604,11631,19.260
BIOLOGY & BIOCHEMISTRY,WESTLAKE UNIVERSITY,1144,444,11571,26.060
BIOLOGY & BIOCHEMISTRY,COLLABORATIVE INNOVATION CENTER FOR DIAGNOSIS & TREATMENT OF INFECTIOUS DISEASES,1161,372,11302,30.380
BIOLOGY & BIOCHEMISTRY,ANHUI AGRICULTURAL UNIVERSITY,1169,590,11228,19.030
BIOLOGY & BIOCHEMISTRY,"NATIONAL INSTITUTE OF BIOLOGICAL SCIENCES, BEIJING",1170,251,11223,44.710
BIOLOGY & BIOCHEMISTRY,SHANXI MEDICAL UNIVERSITY,1172,1091,11193,10.260
BIOLOGY & BIOCHEMISTRY,"BEIJING INSTITUTE OF GENOMICS, CAS",1177,337,11157,33.110
BIOLOGY & BIOCHEMISTRY,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES,1184,605,11052,18.270
BIOLOGY & BIOCHEMISTRY,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,1185,494,11051,22.370
BIOLOGY & BIOCHEMISTRY,NORTHEAST FORESTRY UNIVERSITY - CHINA,1190,732,10947,14.950
BIOLOGY & BIOCHEMISTRY,SHANGHAI OCEAN UNIVERSITY,1200,832,10815,13.000
BIOLOGY & BIOCHEMISTRY,GUANGDONG PHARMACEUTICAL UNIVERSITY,1201,587,10805,18.410
BIOLOGY & BIOCHEMISTRY,DALIAN POLYTECHNIC UNIVERSITY,1203,655,10795,16.480
BIOLOGY & BIOCHEMISTRY,UNIVERSITY OF JINAN,1206,585,10741,18.360
BIOLOGY & BIOCHEMISTRY,HUNAN NORMAL UNIVERSITY,1207,670,10738,16.030
BIOLOGY & BIOCHEMISTRY,SHAANXI NORMAL UNIVERSITY,1213,557,10697,19.200
BIOLOGY & BIOCHEMISTRY,SHENYANG PHARMACEUTICAL UNIVERSITY,1231,746,10507,14.080
BIOLOGY & BIOCHEMISTRY,BEIJING INSTITUTE OF TECHNOLOGY,1239,616,10441,16.950
BIOLOGY & BIOCHEMISTRY,JILIN AGRICULTURAL UNIVERSITY,1240,654,10373,15.860
BIOLOGY & BIOCHEMISTRY,CHENGDU UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,1257,707,10268,14.520
BIOLOGY & BIOCHEMISTRY,"THE CHINESE UNIVERSITY OF HONG KONG, SHENZHEN",1278,336,10057,29.930
BIOLOGY & BIOCHEMISTRY,FUZHOU UNIVERSITY,1288,660,9919,15.030
BIOLOGY & BIOCHEMISTRY,HANGZHOU MEDICAL COLLEGE,1305,692,9750,14.090
BIOLOGY & BIOCHEMISTRY,WUHAN UNIVERSITY OF TECHNOLOGY,1311,370,9688,26.180
BIOLOGY & BIOCHEMISTRY,GUIZHOU MEDICAL UNIVERSITY,1314,825,9658,11.710
BIOLOGY & BIOCHEMISTRY,GUANGDONG ACADEMY OF MEDICAL SCIENCES & GUANGDONG GENERAL HOSPITAL,1322,629,9548,15.180
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF OCEANOLOGY, CAS",1323,513,9522,18.560
BIOLOGY & BIOCHEMISTRY,ZUNYI MEDICAL UNIVERSITY,1326,700,9503,13.580
BIOLOGY & BIOCHEMISTRY,"INSTITUTE OF COMPUTING TECHNOLOGY, CAS",1327,127,9480,74.650
BIOLOGY & BIOCHEMISTRY,"KUNMING INSTITUTE OF ZOOLOGY, CAS",1334,366,9433,25.770
BIOLOGY & BIOCHEMISTRY,YUNNAN UNIVERSITY,1354,589,9263,15.730
