total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
1,0,0,0,1,93.0,5095.0,54.78,0,HARVARD VANGUARD MEDICAL ASSOCIATES,0
1,0,0,0,1,2036.0,73784.0,36.24,0,HEART CENTER LEIPZIG GMBH,0
1,0,0,0,1,46.0,7861.0,170.89,0,GEN HOSP NIKAIA,0
5,0,0,2,3,4571.0,73219.0,15.528,0,INCHEON NATIONAL UNIVERSITY,2
1,0,0,0,1,264.0,13763.0,52.13,0,MELBOURNE CENTRE FOR NANOFABRICATION,0
4,0,0,3,1,4606.0,95941.0,23.575,0,NANCHANG HANGKONG UNIVERSITY,0
1,0,0,0,1,68.0,4907.0,72.16,0,RESMED,0
1,0,0,0,1,17.0,4906.0,288.59,0,CHILDRENS HEARTLINK,0
1,0,0,0,1,639.0,4584.0,7.17,0,KIELCE UNIVERSITY OF TECHNOLOGY,0
7,0,2,2,3,8899.0,398722.0,38.33857142857143,2,PRINCESS MARGARET CANCER CENTRE,2
1,0,0,0,1,342.0,10737.0,31.39,0,MACERATA HOSP,0
2,0,0,1,1,2958.0,34031.0,11.935,0,BENGBU MEDICAL UNIVERSITY,0
1,0,0,0,1,262.0,4101.0,15.65,0,JIANGXI ACADEMY OF AGRICULTURAL SCIENCES,0
1,0,0,0,1,442.0,20802.0,47.06,0,UNIVERSITY OF SARAJEVO,0
1,0,0,0,1,121.0,4415.0,36.49,0,UNIV HEART CTR,0
1,0,0,0,1,1497.0,20985.0,14.02,0,STONY BROOK UNIVERSITY HOSPITAL,0
2,0,0,0,2,567.0,69206.0,131.625,0,SIMMONS UNIVERSITY,0
1,0,0,0,1,64.0,4828.0,75.44,0,BREAST CANCER TRIALS AUSTRALIA,0
1,0,0,0,1,8.0,7467.0,933.38,0,AMANG RODRIGUEZ MED CTR,0
1,0,0,0,1,22.0,7537.0,342.59,0,LAKSHMI HOSP,0
1,0,0,0,1,720.0,19028.0,26.43,0,NETHERLANDS COMPREHENS CANC ORG,0
17,0,8,6,3,24605.0,620198.0,25.241764705882353,8,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY (RMIT),1
1,0,0,0,1,427.0,12021.0,28.15,0,ASKLEPIOS KLINIK ALTONA,0
1,0,0,0,1,9.0,7848.0,872.0,0,ATLANTIC CLIN TRIALS LLC,0
1,0,0,0,1,44.0,7319.0,166.34,0,LUNGENFACHKLIN IMMENHAUSEN,0
1,0,0,0,1,11.0,6365.0,578.64,0,INSTITUTE OF RADIATION PROBLEMS OF THE AZERBAIJAN NATIONAL ACADEMY OF SCIENCES,0
5,0,1,2,2,1648.0,148347.0,79.54,1,COLD SPRING HARBOR LABORATORY,0
1,0,0,0,1,166.0,8888.0,53.54,0,ENVIRONM AGCY AUSTRIA,0
3,0,0,1,2,2984.0,67153.0,24.22666666666667,0,HOPITAL UNIVERSITAIRE ROBERT-DEBRE - APHP,0
1,0,0,0,1,530.0,12617.0,23.81,0,FUNDACION VALLE DEL LILI,0
10,0,2,3,5,8362.0,173498.0,25.395,2,MACAU UNIVERSITY OF SCIENCE & TECHNOLOGY,2
2,0,0,2,0,436.0,19180.0,46.31999999999999,0,INTERNATIONAL AIDS VACCINE INITIATIVE,0
1,0,0,0,1,230.0,4369.0,19.0,0,PHAROS UNIVERSITY IN ALEXANDRIA,0
1,0,0,0,1,8.0,7467.0,933.38,0,ENDOCRINE DIABET CARE & RESOURCE CTR,0
4,0,0,1,3,3506.0,53304.0,15.3375,0,HEBEI UNIVERSITY OF SCIENCE & TECHNOLOGY,0
1,0,0,0,1,284.0,5565.0,19.6,0,AIR FORCE RES LAB,0
7,0,1,1,5,4754.0,88518.0,17.45714285714286,1,UNIVERSITY OF PESHAWAR,2
3,0,1,1,1,2275.0,60624.0,25.98,1,NORWEGIAN INSTITUTE NATURE RESEARCH,0
5,0,2,1,2,2530.0,162506.0,51.746,2,VIENNA BIOCENTER (VBC),0
1,0,0,1,0,607.0,8632.0,14.22,0,INSTITUTO DE BOTANICA - SAO PAULO,0
3,0,0,1,2,2118.0,94890.0,41.26,0,LADY DAVIS INSTITUTE,0
1,0,0,1,0,768.0,5359.0,6.98,0,CCS HARYANA AGRICULTURAL UNIVERSITY,0
8,0,2,2,4,7249.0,293487.0,26.13,2,AMERICAN UNIVERSITY OF BEIRUT,2
3,0,1,0,2,4444.0,51576.0,12.166666666666666,1,SHANDONG UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,0
9,0,1,5,3,9433.0,220618.0,24.52111111111111,1,SECHENOV FIRST MOSCOW STATE MEDICAL UNIVERSITY,2
4,0,3,0,1,4710.0,185251.0,38.56,3,INTERNATIONAL SCHOOL FOR ADVANCED STUDIES (SISSA),0
10,0,2,4,4,8926.0,215197.0,30.457,2,OTTO VON GUERICKE UNIVERSITY,2
11,3,4,2,2,13259.0,1155772.0,66.27272727272728,7,BROAD INSTITUTE,1
16,0,9,5,2,21529.0,541688.0,26.758750000000003,9,AALTO UNIVERSITY,1
1,0,0,0,1,26.0,4332.0,166.62,0,ANGIOGENESIS FDN,0
2,0,0,0,2,716.0,13307.0,17.975,0,HUANGGANG NORMAL UNIVERSITY,0
1,0,0,0,1,12.0,6177.0,514.75,0,DEPT CLIN SCI INTERVENT & TECHNOL,0
1,0,0,0,1,35.0,10867.0,310.49,0,JIAHUI HLTH,0
1,0,0,0,1,412.0,6175.0,14.99,0,BATMAN UNIVERSITY,0
8,1,3,1,3,8564.0,206150.0,40.21500000000001,4,MINIST AGR,2
1,0,0,0,1,194.0,9288.0,47.88,0,MAX SUPER SPECIAL HOSP,0
1,0,0,0,1,689.0,18834.0,27.34,0,UNIVERSITY HOSPITAL DONOSTIA,0
1,0,0,0,1,128.0,4397.0,34.35,0,MERCY MED CTR,0
1,0,0,0,1,380.0,3987.0,10.49,0,SRM UNIVERSITY-AP,0
2,0,0,0,2,1157.0,17041.0,14.725,0,MOULAY ISMAIL UNIVERSITY OF MEKNES,0
1,0,0,0,1,241.0,4442.0,18.43,0,BEIJING KEY LAB TRANSLAT MED CEREBROVASC DIS,0
1,0,0,0,1,584.0,7436.0,12.73,0,YANTAI YUHUANGDING HOSP,0
12,0,0,8,4,12792.0,241960.0,19.783333333333335,0,AJOU UNIVERSITY,2
11,0,5,0,6,13226.0,575690.0,39.053636363636365,5,BARCELONA INSTITUTE OF SCIENCE & TECHNOLOGY,2
1,0,0,0,1,304.0,7067.0,23.25,0,SANOFI GERMANY,0
1,0,0,0,1,297.0,4459.0,15.01,0,BEIBU GULF UNIVERSITY,0
6,0,1,2,3,3400.0,82124.0,21.78,1,ILLINOIS INSTITUTE OF TECHNOLOGY,2
3,0,0,2,1,1140.0,34571.0,32.303333333333335,0,DOUGLAS MENTAL HLTH UNIV INST,0
15,10,0,2,3,75951.0,2892549.0,36.160666666666664,10,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,4
2,0,0,2,0,1462.0,32771.0,22.905,0,HELLENIC CENTRE FOR MARINE RESEARCH,0
1,0,0,0,1,360.0,4605.0,12.79,0,CAMILO JOSE CELA UNIVERSITY,0
1,0,0,0,1,208.0,3254.0,15.64,0,NATL INST OCCUPAT HLTH,0
1,0,0,0,1,130.0,2366.0,18.2,0,"NATIONAL ACADEMIES OF SCIENCES, ENGINEERING & MEDICINE",0
1,0,0,0,1,371.0,9133.0,24.62,0,VASTERAS CENTRAL HOSPITAL,0
21,12,9,0,0,163906.0,3420777.0,19.869999999999997,21,SHANGHAI JIAO TONG UNIVERSITY,4
10,0,0,2,8,7043.0,153226.0,19.514999999999997,0,UNIVERSITY OF THESSALY,2
1,0,0,0,1,293.0,8301.0,28.33,0,AMERICAN ACADEMY OF PEDIATRICS,0
5,0,5,0,0,18033.0,304207.0,16.466,5,CHINESE ACADEMY OF ENGINEERING PHYSICS,0
2,0,0,1,1,1432.0,21660.0,14.195,0,KOREA RESEARCH INSTITUTE OF STANDARDS & SCIENCE (KRISS),0
1,0,0,0,1,285.0,4911.0,17.23,0,GUIZHOU UNIVERSITY OF FINANCE & ECONOMICS,0
15,0,0,8,7,13356.0,260357.0,19.345999999999997,0,UNIVERSITY OF CAGLIARI,2
