total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
17,0,5,10,2,19098.0,520255.0,25.82941176470589,5,UNIVERSITY OF PERUGIA,1
17,0,9,7,1,36634.0,652060.0,17.695882352941176,9,UNIVERSITY OF BELGRADE,1
20,2,18,0,0,51961.0,1299052.0,26.1555,20,RUTGERS UNIVERSITY NEW BRUNSWICK,1
19,3,7,6,3,30356.0,969960.0,31.324210526315788,10,STOCKHOLM UNIVERSITY,1
22,4,15,2,1,55471.0,1487220.0,28.965454545454545,19,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,1
15,0,7,6,2,14192.0,475821.0,32.39399999999999,7,UNIVERSITY OF EAST ANGLIA,1
14,0,7,4,3,21639.0,421001.0,17.000000000000004,7,UNIVERSIDADE FEDERAL DE SAO PAULO (UNIFESP),1
19,0,4,13,2,17640.0,407593.0,24.35315789473684,4,UNIVERSIDADE NOVA DE LISBOA,1
17,0,10,6,1,23160.0,638577.0,25.952352941176468,10,FRIEDRICH SCHILLER UNIVERSITY OF JENA,1
17,0,9,7,1,18602.0,469398.0,25.39352941176471,9,UNIVERSITY OF DELAWARE,1
15,4,5,2,4,57895.0,1137669.0,18.102000000000007,9,DALIAN UNIVERSITY OF TECHNOLOGY,1
20,6,9,3,2,66966.0,2201731.0,31.421000000000003,15,KING'S COLLEGE LONDON,1
22,0,16,6,0,56154.0,1388253.0,24.931818181818176,16,TEL AVIV UNIVERSITY,1
19,1,12,4,2,24162.0,746809.0,30.334736842105265,13,UNIVERSITY OF MASSACHUSETTS AMHERST,1
20,4,16,0,0,53943.0,1327736.0,25.963,20,RUTGERS UNIVERSITY SYSTEM,1
21,4,13,2,2,53062.0,1370842.0,27.995238095238093,17,INDIANA UNIVERSITY SYSTEM,1
22,7,13,2,0,70625.0,1501421.0,23.58409090909091,20,TEXAS A&M UNIVERSITY SYSTEM,1
18,0,8,9,1,27364.0,756338.0,23.712777777777774,8,UNIVERSITY OF DUISBURG ESSEN,1
20,4,12,2,2,82543.0,1649865.0,18.182000000000006,16,TONGJI UNIVERSITY,1
16,0,6,7,3,14773.0,359625.0,25.878124999999997,6,UNIVERSITY OF OKLAHOMA - NORMAN,1
