iter	Passed	Remaining
761	7007	66563
762	7017	66555
763	7026	66546
764	7034	66532
765	7044	66526
766	7053	66518
767	7062	66508
768	7072	66498
769	7081	66495
770	7090	66485
771	7100	66475
772	7108	66462
773	7117	66448
774	7126	66439
775	7136	66434
776	7145	66421
777	7154	66409
778	7163	66404
779	7172	66391
780	7182	66385
781	7191	66374
782	7199	66358
783	7208	66346
784	7216	66331
785	7225	66319
786	7234	66308
787	7244	66303
788	7254	66300
789	7263	66293
790	7273	66289
791	7283	66283
792	7293	66280
793	7302	66273
794	7311	66260
795	7320	66254
796	7330	66246
797	7339	66238
798	7348	66231
799	7358	66223
800	7367	66219
801	7378	66220
802	7388	66217
803	7398	66216
804	7407	66211
805	7417	66209
806	7427	66200
807	7436	66196
808	7447	66194
809	7456	66190
810	7465	66181
811	7474	66169
812	7483	66156
813	7492	66142
814	7500	66127
815	7510	66117
816	7518	66101
817	7527	66086
818	7535	66070
819	7543	66052
820	7551	66034
821	7559	66014
822	7568	65997
823	7576	65980
824	7584	65961
825	7592	65943
826	7601	65927
827	7609	65910
828	7617	65893
829	7625	65871
830	7633	65857
831	7642	65843
832	7650	65823
833	7658	65803
834	7666	65785
835	7674	65766
836	7682	65749
837	7693	65754
838	7702	65740
839	7710	65722
840	7719	65713
841	7728	65704
842	7737	65691
843	7746	65678
844	7755	65667
845	7764	65658
846	7773	65647
847	7782	65636
848	7791	65628
849	7801	65624
850	7811	65619
851	7821	65616
852	7830	65609
853	7840	65605
854	7850	65603
855	7861	65607
856	7871	65605
857	7880	65597
858	7889	65588
859	7900	65595
860	7910	65591
861	7920	65584
862	7928	65572
863	7938	65565
864	7947	65559
865	7957	65554
866	7968	65555
867	7977	65548
868	7986	65540
869	7995	65529
870	8005	65522
871	8014	65511
872	8023	65499
873	8032	65493
874	8042	65485
875	8053	65491
876	8099	65782
877	8109	65785
878	8119	65778
879	8129	65777
880	8139	65773
881	8149	65769
882	8159	65764
883	8168	65755
884	8177	65746
885	8187	65742
886	8196	65732
887	8206	65724
888	8215	65717
889	8225	65707
890	8235	65706
891	8244	65695
892	8253	65685
893	8262	65674
894	8271	65662
895	8280	65654
896	8290	65652
897	8299	65638
898	8309	65634
899	8319	65627
900	8328	65617
901	8338	65613
902	8348	65614
903	8358	65610
904	8368	65608
905	8378	65603
906	8388	65596
907	8397	65590
908	8406	65580
909	8416	65578
910	8426	65569
911	8435	65558
912	8443	65544
913	8453	65533
914	8461	65519
915	8471	65514
916	8480	65507
917	8490	65498
918	8500	65493
919	8509	65484
920	8518	65474
921	8527	65462
922	8535	65447
923	8544	65434
924	8553	65425
925	8563	65417
926	8572	65408
927	8582	65406
928	8591	65394
929	8600	65381
930	8610	65380
931	8620	65371
932	8629	65360
933	8637	65345
934	8646	65332
935	8655	65322
936	8664	65310
937	8673	65301
938	8682	65290
939	8691	65275
940	8700	65263
941	8709	65253
942	8717	65241
943	8726	65227
944	8734	65211
945	8743	65199
946	8752	65184
947	8760	65169
948	8769	65154
949	8778	65145
950	8787	65138
951	8796	65126
952	8806	65119
953	8815	65108
954	8824	65096
955	8833	65090
956	8842	65078
957	8852	65068
958	8862	65066
959	8871	65057
960	8881	65051
961	8890	65041
962	8900	65037
963	8909	65028
964	8918	65020
965	8929	65018
966	8939	65016
967	8949	65012
968	8959	65008
969	8969	65002
970	8978	64993
971	8987	64986
972	8998	64983
973	9007	64973
974	9016	64967
975	9026	64960
976	9035	64948
977	9044	64941
978	9054	64933
979	9063	64921
980	9072	64913
981	9081	64903
982	9090	64890
983	9099	64881
984	9109	64875
985	9119	64871
986	9128	64863
987	9138	64855
988	9147	64845
989	9156	64836
990	9166	64830
991	9175	64819
992	9185	64813
993	9195	64812
994	9205	64808
995	9215	64803
996	9224	64796
997	9234	64787
998	9243	64779
999	9253	64777
1000	9264	64775
1001	9274	64774
1002	9284	64768
1003	9294	64765
1004	9304	64758
1005	9315	64764
1006	9325	64757
1007	9334	64749
1008	9344	64745
1009	9353	64735
1010	9362	64723
1011	9371	64708
1012	9380	64697
1013	9388	64684
1014	9397	64672
1015	9407	64664
1016	9416	64655
1017	9425	64643
1018	9433	64629
1019	9442	64614
1020	9450	64597
1021	9458	64581
1022	9466	64563
1023	9475	64549
1024	9483	64536
1025	9492	64521
1026	9500	64507
1027	9509	64492
1028	9517	64477
1029	9525	64462
1030	9534	64449
1031	9543	64439
1032	9552	64425
1033	9561	64413
1034	9570	64401
1035	9579	64393
1036	9588	64381
1037	9597	64371
1038	9606	64358
1039	9616	64358
1040	9625	64346
