iter	Passed	Remaining
547	5583	96313
548	5593	96289
549	5603	96276
550	5614	96279
551	5624	96261
552	5633	96230
553	5642	96199
554	5651	96171
555	5660	96152
556	5670	96136
557	5682	96160
558	5697	96227
559	5707	96210
560	5717	96195
561	5727	96183
562	5737	96176
563	5748	96168
564	5759	96175
565	5770	96180
566	5780	96175
567	5792	96190
568	5809	96296
569	5826	96390
570	5843	96499
571	5857	96545
572	5867	96523
573	5876	96497
574	5887	96505
575	5897	96489
576	5906	96464
577	5916	96440
578	5927	96448
579	5938	96445
580	5949	96459
581	5959	96436
582	5968	96413
583	5978	96391
584	5989	96390
585	6000	96389
586	6009	96370
587	6018	96340
588	6028	96318
589	6037	96286
590	6046	96258
591	6055	96231
592	6063	96187
593	6071	96144
594	6079	96101
595	6088	96072
596	6097	96030
597	6105	95990
598	6113	95949
599	6122	95917
600	6132	95899
601	6141	95884
602	6152	95879
603	6164	95895
604	6174	95876
605	6185	95878
606	6195	95869
607	6205	95865
608	6216	95857
609	6226	95840
610	6236	95840
611	6245	95805
612	6254	95780
613	6263	95747
614	6275	95764
615	6291	95847
616	6306	95910
617	6322	95975
618	6335	96014
619	6349	96056
620	6360	96066
621	6368	96023
622	6380	96030
623	6393	96073
624	6404	96064
625	6413	96045
626	6422	96009
627	6430	95965
628	6438	95922
629	6446	95877
630	6455	95848
631	6463	95806
632	6471	95758
633	6479	95714
634	6487	95672
635	6496	95646
636	6506	95634
637	6548	96096
638	6558	96076
639	6567	96044
640	6576	96013
641	6585	95993
642	6594	95962
643	6603	95934
644	6611	95899
645	6621	95874
646	6629	95836
647	6638	95807
648	6646	95768
649	6656	95752
650	6667	95757
651	6678	95758
652	6689	95746
653	6699	95741
654	6711	95750
655	6721	95736
656	6731	95723
657	6740	95703
658	6750	95684
659	6759	95656
660	6770	95650
661	6779	95631
662	6789	95615
663	6798	95592
664	6808	95571
665	6818	95559
666	6827	95536
667	6836	95509
668	6846	95494
669	6856	95476
670	6867	95475
671	6876	95446
672	6891	95513
673	6907	95573
674	6922	95631
675	6932	95619
676	6940	95581
677	6949	95549
678	6957	95511
679	6966	95480
680	6975	95452
681	6984	95432
682	6993	95403
683	7002	95370
684	7011	95352
685	7021	95337
686	7031	95319
687	7040	95292
688	7050	95280
689	7060	95264
690	7069	95239
691	7078	95216
692	7088	95198
693	7097	95171
694	7106	95142
695	7115	95117
696	7125	95108
697	7134	95083
698	7144	95067
699	7154	95051
700	7164	95043
701	7174	95022
702	7183	95005
703	7194	94996
704	7203	94969
705	7212	94942
706	7221	94916
707	7230	94890
708	7238	94861
709	7248	94839
710	7257	94813
711	7265	94783
712	7274	94753
713	7283	94724
714	7292	94706
715	7301	94672
716	7309	94633
717	7317	94600
718	7325	94561
719	7333	94523
720	7341	94488
721	7350	94454
722	7358	94415
723	7366	94375
724	7374	94340
725	7383	94313
726	7391	94279
727	7400	94260
728	7415	94302
729	7456	94682
730	7467	94688
731	7478	94691
732	7489	94684
733	7501	94695
734	7512	94695
735	7523	94692
736	7534	94703
737	7545	94693
738	7555	94678
739	7564	94654
740	7575	94657
741	7585	94645
742	7594	94623
743	7604	94604
744	7614	94594
745	7625	94587
746	7633	94558
747	7642	94531
748	7652	94513
749	7661	94495
750	7672	94485
751	7682	94480
752	7693	94473
753	7702	94457
754	7713	94457
755	7724	94456
756	7734	94441
757	7746	94445
758	7757	94443
759	7767	94442
760	7778	94436
761	7788	94419
762	7797	94398
763	7806	94375
764	7816	94363
765	7827	94353
766	7836	94337
767	7847	94339
768	7858	94327
769	7869	94329
770	7880	94325
771	7889	94307
772	7899	94288
773	7908	94270
774	7918	94260
775	7928	94241
776	7938	94229
777	7948	94211
778	7957	94197
779	7968	94188
780	7980	94199
781	7990	94190
782	7999	94162
783	8010	94166
784	8020	94146
785	8029	94125
786	8046	94192
787	8055	94171
788	8064	94152
789	8073	94127
790	8083	94107
791	8092	94082
792	8101	94058
793	8110	94038
794	8120	94028
795	8130	94010
796	8139	93984
797	8148	93966
798	8158	93945
799	8171	93976
800	8181	93964
801	8190	93938
802	8200	93920
803	8214	93961
804	8224	93947
805	8234	93925
806	8244	93919
807	8253	93896
808	8263	93875
809	8271	93847
810	8280	93824
811	8288	93787
812	8296	93750
813	8305	93722
814	8314	93700
815	8323	93679
816	8333	93667
817	8342	93644
818	8351	93619
819	8361	93603
820	8370	93587
821	8379	93563
822	8388	93535
823	8396	93499
824	8404	93463
825	8413	93440
826	8422	93418
827	8431	93401
828	8441	93383
829	8449	93347
830	8457	93313
831	8465	93281
832	8475	93265
